datetime#topic#title#url#image_url#language#score#source_domain#description#share_url#page_id
2021-03-02 09:16:38#entertainment#Jan Karbaat bleek geen engel, maar een arts zonder geweten#https://www.parool.nl/kunst-media/jan-karbaat-bleek-geen-engel-maar-een-arts-zonder-geweten~b847d4df/#https://images0.persgroep.net/rcs/YXN82DkoNMWx2Yb0BRYCG-OvSPA/diocontent/200447099/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.0#www.parool.nl#Han Lips schrijft elke dag over wat hij ziet op tv.  Vandaag: Het zaad van Karbaat. #https://www.parool.nl/kunst-media/jan-karbaat-bleek-geen-engel-maar-een-arts-zonder-geweten~b847d4df/#r20BGc8XZ
2021-03-01 06:05:30#entertainment#Nog nooit getoonde Van Gogh voor het eerst te zien in Amsterdam#https://www.telegraaf.nl/nieuws/1366584594/nog-nooit-getoonde-van-gogh-voor-het-eerst-te-zien-in-amsterdam#https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/2063d5a4-7a54-11eb-b471-0217670beecd.jpg#nl#0.0#www.telegraaf.nl#Een nog nooit aan publiek getoonde Van Gogh, Scène de rue à Montmartre uit 1887, is van maandag tot en met woensdag op afspraak te zien bij Sotheby’s in Amsterdam.  Het veilinghuis veilt het schilderij op 25 maart in Parijs. #https://www.telegraaf.nl/nieuws/1366584594/nog-nooit-getoonde-van-gogh-voor-het-eerst-te-zien-in-amsterdam#RLjKaxoeh
2021-03-02 00:00:00#sport#Grote zorgen in paardensport om virus: 'De ergste variant heeft toegeslagen'#https://www.nu.nl/sport-overig/6119394/grote-zorgen-in-paardensport-om-virus-de-ergste-variant-heeft-toegeslagen.html#https://media.nu.nl/m/mjwx3w8avooc_wd1280.jpg/grote-zorgen-in-paardensport-om-virus-de-ergste-variant-heeft-toegeslagen.jpg#nl#-0.5859#www.nu.nl#De Nederlandse hippische sportfederatie KNHS is bijzonder bezorgd over de uitbraak van het voor paarden zeer besmettelijke rhinopneumonievirus in Europa.  Bijna alle internationale wedstrijden zijn inmiddels tot eind maart stilgelegd door de internationale organisatie FEI. #https://www.nu.nl/sport-overig/6119394/grote-zorgen-in-paardensport-om-virus-de-ergste-variant-heeft-toegeslagen.html#KBJZnDHRW
2021-03-01 10:19:00#science#Deze kabels op de bodem van de oceaan kunnen een aardbeving of tsunami voorspellen#https://www.trouw.nl/wetenschap/deze-kabels-op-de-bodem-van-de-oceaan-kunnen-een-aardbeving-of-tsunami-voorspellen~b781d1d7/#https://images0.persgroep.net/rcs/e6R7GM-r8GAKACRoWTnrkmqgIrs/diocontent/107344309/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.0#www.trouw.nl#Telecomkabels op de bodem van de oceaan kunnen worden gebruikt om aardbevingen en tsunami's te voorspellen. #https://www.trouw.nl/wetenschap/deze-kabels-op-de-bodem-van-de-oceaan-kunnen-een-aardbeving-of-tsunami-voorspellen~b781d1d7/#qCb33gk8P
2021-03-02 07:35:58#science#Hoe melk en bladspinazie toekomstige ruimtereizigers mogelijk kunnen beschermen tegen schadelijke kosmische straling#https://www.scientias.nl/hoe-melk-en-bladspinazie-toekomstige-ruimtereizigers-mogelijk-kunnen-beschermen-tegen-schadelijke-kosmische-straling/#https://www.scientias.nl/wp-content/uploads/2021/02/astronaut-1784245_1920.jpg#nl#0.3818#www.scientias.nl#Een antioxidant-rijk dieet is mogelijk een belangrijke troef op weg naar langdurige, bemande ruimtemissies.  Al lange tijd is de mensheid geïntrigeerd door#https://www.scientias.nl/hoe-melk-en-bladspinazie-toekomstige-ruimtereizigers-mogelijk-kunnen-beschermen-tegen-schadelijke-kosmische-straling/#UWYTd0ivk
2021-03-01 08:33:38#health#Vier besmette verzorgers in door Zuid-Afrikaanse variant get...#https://www.hbvl.be/cnt/dmf20210301_92753284#https://static.hbvl.be/Assets/Images_Upload/2021/03/01/5635c27a-79e4-11eb-9886-02937dd5fff5_web_scale_0.0497141_0.0497141__.jpg#nl#-0.4939#www.hbvl.be#In een woonzorgcentrum in Anzegem is de Zuid-Afrikaanse variant van het coronavirus uitgebroken.  Het goede nieuws: twaalf besmette bewoners kregen tijdig h. . . #https://www.hbvl.be/cnt/dmf20210301_92753284#8H0fIehXC
2021-03-01 16:11:18#business#Gedupeerden toeslagenaffaire krijgen gratis advocaat#https://www.telegraaf.nl/nieuws/279839940/gedupeerden-toeslagenaffaire-krijgen-gratis-advocaat#https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/c152fe3c-7aa8-11eb-b19b-02d1dbdc35d1.jpg#nl#0.5574#www.telegraaf.nl#Gedupeerden van de toeslagenaffaire krijgen kosteloze rechtsbijstand van een advocaat.  De Raad voor de Rechtsbijstand heeft maandag in samenwerking met het ministerie van Financiën een regeling gepubliceerd. #https://www.telegraaf.nl/nieuws/279839940/gedupeerden-toeslagenaffaire-krijgen-gratis-advocaat#fxInMWEef
2021-03-01 06:30:00#business#Omzet horeca krimpt ongekend hard door coronamaatregelen#https://www.cbs.nl/nl-nl/nieuws/2021/09/omzet-horeca-krimpt-ongekend-hard-door-coronamaatregelen#https://cdn.cbs.nl/images/2b566a7a6134386c73474f592f4a63785279337150513d3d/900x450.jpg#nl#0.0#www.cbs.nl#Omzet horeca krimpt ongekend hard door coronamaatregelen. #https://www.cbs.nl/nl-nl/nieuws/2021/09/omzet-horeca-krimpt-ongekend-hard-door-coronamaatregelen#A7ZHYEOOR
2021-03-01 00:00:00#tech#Gegevens van honderdduizenden dierentuin- en pretparkklanten gelekt#https://www.nu.nl/tech/6119268/gegevens-van-honderdduizenden-dierentuin-en-pretparkklanten-gelekt.html#https://media.nu.nl/m/d16xeiyags6r_wd1280.jpg/gegevens-van-honderdduizenden-dierentuin-en-pretparkklanten-gelekt.jpg#nl#0.0516#www.nu.nl#De klantgegevens van honderdduizenden dierentuin- en pretparkbezoekers zijn gelekt.  Door een menselijke fout plaatste Ticketcounter een bestand met deze gegevens openbaar online, bevestigt het bedrijf aan NU. nl.  In het bestand staan bankrekeningnummers, namen en geboortedata van bezoekers van onder meer Diergaarde Blijdorp, de Apenheul en Duinrell. #https://www.nu.nl/tech/6119268/gegevens-van-honderdduizenden-dierentuin-en-pretparkklanten-gelekt.html#KklkFsN3C
2021-03-01 00:00:00#tech#Apple opnieuw aangeklaagd om trager maken van iPhone 6#https://www.nu.nl/tech/6119299/apple-opnieuw-aangeklaagd-om-trager-maken-van-iphone-6.html#https://media.nu.nl/m/agsxaakag8fs_wd1280.jpg/apple-opnieuw-aangeklaagd-om-trager-maken-van-iphone-6.jpg#nl#0.0#www.nu.nl#De Portugese consumentenbond Deco Proteste klaagt Apple aan wegens een software-update waarmee iPhones bewust trager werden gemaakt om de batterij te ontzien. #https://www.nu.nl/tech/6119299/apple-opnieuw-aangeklaagd-om-trager-maken-van-iphone-6.html#5uVCrtg1a
